,state,county,Risk,county,,,,0
2165,Oklahoma,Kay,0.524323702,Kay,,,,0.524323702
2166,Oklahoma,Kingfisher,0.3756859,Kingfisher,,,,0.3756859
2167,Oklahoma,Kiowa,0.557226658,Kiowa,,,,0.557226658
2168,Oklahoma,Latimer,0.635452211,Latimer,,,,0.635452211
2169,Oklahoma,Le,0.561725259,Le,,,,0.561725259
2170,Oklahoma,Lincoln,0.523563087,Lincoln,,,,0.523563087
2171,Oklahoma,Logan,0.59223783,Logan,,,,0.59223783
2172,Oklahoma,Love,0.448476881,Love,,,,0.448476881
2173,Oklahoma,McClain,0.427080095,McClain,,,,0.427080095
2174,Oklahoma,McCurtain,0.553658783,McCurtain,,,,0.553658783
2175,Oklahoma,McIntosh,0.646955013,McIntosh,,,,0.646955013
2176,Oklahoma,Major,0.398074239,Major,,,,0.398074239
2177,Oklahoma,Marshall,0.535780489,Marshall,,,,0.535780489
2178,Oklahoma,Mayes,0.494783819,Mayes,,,,0.494783819
2179,Oklahoma,Murray,0.440546244,Murray,,,,0.440546244
2180,Oklahoma,Muskogee,0.492726952,Muskogee,,,,0.492726952
2181,Oklahoma,Noble,0.452755958,Noble,,,,0.452755958
2182,Oklahoma,Nowata,0.624756873,Nowata,,,,0.624756873
2183,Oklahoma,Okfuskee,0.615516067,Okfuskee,,,,0.615516067
2184,Oklahoma,Oklahoma,0.406568795,Oklahoma,,,,0.406568795
2185,Oklahoma,Okmulgee,0.52819699,Okmulgee,,,,0.52819699
2186,Oklahoma,Osage,0.557190955,Osage,,,,0.557190955
2187,Oklahoma,Ottawa,0.534323752,Ottawa,,,,0.534323752
2188,Oklahoma,Pawnee,0.489420891,Pawnee,,,,0.489420891
2189,Oklahoma,Payne,0.514757991,Payne,,,,0.514757991
2190,Oklahoma,Pittsburg,0.576477706,Pittsburg,,,,0.576477706
2191,Oklahoma,Pontotoc,0.495104462,Pontotoc,,,,0.495104462
2192,Oklahoma,Pottawatomie,0.542968094,Pottawatomie,,,,0.542968094
2193,Oklahoma,Pushmataha,0.612889647,Pushmataha,,,,0.612889647
2194,Oklahoma,Roger,0.488186896,Roger,,,,0.488186896
2195,Oklahoma,Rogers,0.513742447,Rogers,,,,0.513742447
2196,Oklahoma,Seminole,0.583123505,Seminole,,,,0.583123505
2197,Oklahoma,Sequoyah,0.61898607,Sequoyah,,,,0.61898607
2198,Oklahoma,Stephens,0.48216626,Stephens,,,,0.48216626
2199,Oklahoma,Texas,0.228097677,Texas,,,,0.228097677
2200,Oklahoma,Tillman,0.583289087,Tillman,,,,0.583289087
2201,Oklahoma,Tulsa,0.384213388,Tulsa,,,,0.384213388
2202,Oklahoma,Wagoner,0.507258594,Wagoner,,,,0.507258594
2203,Oklahoma,Washington,0.518634677,Washington,,,,0.518634677
2204,Oklahoma,Washita,0.39489463,Washita,,,,0.39489463
2205,Oklahoma,Woods,0.438536316,Woods,,,,0.438536316
